minute,samples_shoulder,shoulder_mean,shoulder_min,shoulder_max,samples_headroll,headroll_mean,headroll_min,headroll_max,samples_mouth,mouth_mean,mouth_min,mouth_max
35,300,0.00461141049861908,-0.028788745403289795,0.04347473382949829,300,-6.828033780867962,-20.145225267434192,11.622209496910713,300,0.039827812610860255,0.00045386793029388966,0.2087751740692788
36,300,-0.021436537901560467,-0.043505728244781494,0.0038056373596191406,300,-0.5980984859922582,-11.917640310939294,9.330288789921068,300,0.031285649929842944,0.00013875496562988515,0.2837639065687648
37,300,-0.006641957362492879,-0.029858678579330444,0.02306702733039856,299,-3.5484012779480154,-18.522782655235524,16.220938548327894,299,0.03208326488450024,0.00020172576195525083,0.24058263229867882
38,300,-0.004606756766637166,-0.057461678981781006,0.020621418952941895,300,-3.6565801486675698,-22.732037083459677,8.441719099634355,300,0.02492628951735234,5.243162257785169e-05,0.24413346203466277
39,300,-0.016362923085689544,-0.040019065141677856,0.020961761474609375,300,0.6492364599367213,-26.272005580539133,14.538423785859695,300,0.02838375964272398,0.00036098094704785534,0.24715965033160267
40,300,-0.007450193166732788,-0.0351945161819458,0.027421265840530396,285,-1.1350413111314046,-46.43406019955354,11.41551686998261,285,0.02841825724733731,7.26987326037612e-05,0.2351082389396023
41,300,-0.008081246117750804,-0.04330882430076599,0.028720974922180176,300,-5.300508188267739,-22.034298215588354,12.172237536671911,300,0.03609072191386973,6.94627375688825e-05,0.24832548192130757
42,300,-0.0015348478158315022,-0.027239948511123657,0.021094709634780884,300,-9.862898331512795,-36.87673870497353,4.25718779129994,300,0.027271389645575763,0.00016392613908238325,0.28409972096048225
43,300,-0.007708965937296549,-0.028410226106643677,0.02951374650001526,300,-5.964341161818882,-28.815073676209835,10.342166091258182,300,0.04121334613175982,9.022424197932705e-05,0.19067485807971726
44,300,-0.0026785093545913696,-0.028831839561462402,0.03691518306732178,300,-1.8630734242202887,-14.12267016352179,19.505036215181843,300,0.04652820175471721,4.226140799279553e-05,0.2842123438213681
45,300,0.00023325473070144652,-0.022363513708114624,0.03477197885513306,300,-2.346948154535778,-17.696597459070162,14.133197305672871,300,0.04510119344061198,7.645833074810499e-05,0.2618129560730085
46,300,-0.0002644626299540202,-0.024380117654800415,0.039668917655944824,292,-7.034988724017047,-29.76182466595523,9.265544781301045,292,0.026058588078706327,0.00026098111152496654,0.16600820099527192
47,300,0.006933804452419281,-0.028983622789382935,0.038201600313186646,276,-10.921579247271673,-33.30356867447104,5.239571813302642,276,0.03931718794654761,6.610298504572184e-05,0.22274926565885667
48,300,0.004466799596945445,-0.022321969270706177,0.04448515176773071,300,-5.170934283865977,-21.129555738871385,6.731773902027294,300,0.04912785004211408,0.00029984436243807474,0.19444291373900505
49,300,0.008354670802752177,-0.01780766248703003,0.03850361704826355,290,-7.260913026033908,-31.207636486576174,8.491105996269546,290,0.0340576920411223,8.299304175751776e-05,0.19380394146399982
